,HOTEL_NAME,HOTEL_URL
0,Navalai River Resort,https://www.tripadvisor.in/Hotel_Review-g293916-d1108233-Reviews-Navalai_River_Resort-Bangkok.html
1,Siri Sathorn Executive Serviced Residence,https://www.tripadvisor.in/Hotel_Review-g293916-d553900-Reviews-Siri_Sathorn_Executive_Serviced_Residence-Bangkok.html
2,Eastin Grand Hotel Sathorn,https://www.tripadvisor.in/Hotel_Review-g293916-d2318761-Reviews-Eastin_Grand_Hotel_Sathorn-Bangkok.html
3,Sacha's Hotel Uno,https://www.tripadvisor.in/Hotel_Review-g293916-d1160075-Reviews-Sacha_s_Hotel_Uno-Bangkok.html
4,Chateau de Bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d299558-Reviews-Chateau_de_Bangkok-Bangkok.html
5,AETAS bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d1746106-Reviews-AETAS_bangkok-Bangkok.html
6,Grand Mercure Bangkok Fortune,https://www.tripadvisor.in/Hotel_Review-g293916-d299497-Reviews-Grand_Mercure_Bangkok_Fortune-Bangkok.html
7,Holiday Inn Express Bangkok Sathorn,https://www.tripadvisor.in/Hotel_Review-g293916-d6467877-Reviews-Holiday_Inn_Express_Bangkok_Sathorn-Bangkok.html
8,At Mind Executive Suites,https://www.tripadvisor.in/Hotel_Review-g293916-d3916550-Reviews-At_Mind_Executive_Suites-Bangkok.html
9,The Sunreno Serviced Apartment,https://www.tripadvisor.in/Hotel_Review-g293916-d2392415-Reviews-The_Sunreno_Serviced_Apartment-Bangkok.html
10,FuramaXclusive Asoke,https://www.tripadvisor.in/Hotel_Review-g293916-d1012383-Reviews-FuramaXclusive_Asoke-Bangkok.html
11,Budacco,https://www.tripadvisor.in/Hotel_Review-g293916-d1627578-Reviews-Budacco-Bangkok.html
12,Eastin Hotel Makkasan,https://www.tripadvisor.in/Hotel_Review-g293916-d447652-Reviews-Eastin_Hotel_Makkasan-Bangkok.html
13,Citrus Sukhumvit 13 by Compass Hospitality,https://www.tripadvisor.in/Hotel_Review-g293916-d2017721-Reviews-Citrus_Sukhumvit_13_by_Compass_Hospitality-Bangkok.html
14,Best Western Plus At 20 Sukhumvit,https://www.tripadvisor.in/Hotel_Review-g293916-d2155557-Reviews-Best_Western_Plus_At_20_Sukhumvit-Bangkok.html
15,AETAS lumpini,https://www.tripadvisor.in/Hotel_Review-g293916-d2089242-Reviews-AETAS_lumpini-Bangkok.html
16,ibis Bangkok Siam Hotel,https://www.tripadvisor.in/Hotel_Review-g293916-d3529175-Reviews-Ibis_Bangkok_Siam_Hotel-Bangkok.html
17,Pullman Bangkok Grande Sukhumvit,https://www.tripadvisor.in/Hotel_Review-g293916-d676566-Reviews-Pullman_Bangkok_Grande_Sukhumvit-Bangkok.html
18,The Period Pratunam,https://www.tripadvisor.in/Hotel_Review-g293916-d3254830-Reviews-The_Period_Pratunam-Bangkok.html
19,V Residence Hotel and Serviced Apartment,https://www.tripadvisor.in/Hotel_Review-g293916-d1631067-Reviews-V_Residence_Hotel_and_Serviced_Apartment-Bangkok.html
20,Hope Land Executive Residence,https://www.tripadvisor.in/Hotel_Review-g293916-d1699678-Reviews-Hope_Land_Executive_Residence-Bangkok.html
21,Nouvo City Hotel,https://www.tripadvisor.in/Hotel_Review-g293916-d2027318-Reviews-Nouvo_City_Hotel-Bangkok.html
22,Rama Gardens Hotel Bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d305525-Reviews-Rama_Gardens_Hotel_Bangkok-Bangkok.html
23,"D Varee Diva Bally Silom, Bangkok",https://www.tripadvisor.in/Hotel_Review-g293916-d1074197-Reviews-D_Varee_Diva_Bally_Silom_Bangkok-Bangkok.html
24,Novotel Bangkok Platinum Pratunam,https://www.tripadvisor.in/Hotel_Review-g293916-d2322600-Reviews-Novotel_Bangkok_Platinum_Pratunam-Bangkok.html
25,Tango Vibrant Living Place,https://www.tripadvisor.in/Hotel_Review-g293916-d1225658-Reviews-Tango_Vibrant_Living_Place-Bangkok.html
26,Paradiso Boutique Suites,https://www.tripadvisor.in/Hotel_Review-g293916-d1459399-Reviews-Paradiso_Boutique_Suites-Bangkok.html
27,Orchid Resort,https://www.tripadvisor.in/Hotel_Review-g293916-d1844207-Reviews-Orchid_Resort-Bangkok.html
28,Citadines Sukhumvit 11 Bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d627545-Reviews-Citadines_Sukhumvit_11_Bangkok-Bangkok.html
29,Prom Ratchada Residence & Spa,https://www.tripadvisor.in/Hotel_Review-g293916-d2623117-Reviews-Prom_Ratchada_Residence_Spa-Bangkok.html
30,Siri Sathorn Executive Serviced Residence,https://www.tripadvisor.in/Hotel_Review-g293916-d553900-Reviews-Siri_Sathorn_Executive_Serviced_Residence-Bangkok.html
31,Chateau de Bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d299558-Reviews-Chateau_de_Bangkok-Bangkok.html
32,Eastin Hotel Makkasan,https://www.tripadvisor.in/Hotel_Review-g293916-d447652-Reviews-Eastin_Hotel_Makkasan-Bangkok.html
33,AETAS bangkok,https://www.tripadvisor.in/Hotel_Review-g293916-d1746106-Reviews-AETAS_bangkok-Bangkok.html
34,ibis Bangkok Siam Hotel,https://www.tripadvisor.in/Hotel_Review-g293916-d3529175-Reviews-Ibis_Bangkok_Siam_Hotel-Bangkok.html
35,Prom Ratchada Residence & Spa,https://www.tripadvisor.in/Hotel_Review-g293916-d2623117-Reviews-Prom_Ratchada_Residence_Spa-Bangkok.html
36,Holiday Inn Express Bangkok Sathorn,https://www.tripadvisor.in/Hotel_Review-g293916-d6467877-Reviews-Holiday_Inn_Express_Bangkok_Sathorn-Bangkok.html
37,FuramaXclusive Asoke,https://www.tripadvisor.in/Hotel_Review-g293916-d1012383-Reviews-FuramaXclusive_Asoke-Bangkok.html
38,At Mind Executive Suites,https://www.tripadvisor.in/Hotel_Review-g293916-d3916550-Reviews-At_Mind_Executive_Suites-Bangkok.html
39,Paradiso Boutique Suites,https://www.tripadvisor.in/Hotel_Review-g293916-d1459399-Reviews-Paradiso_Boutique_Suites-Bangkok.html
40,Budacco,https://www.tripadvisor.in/Hotel_Review-g293916-d1627578-Reviews-Budacco-Bangkok.html
41,Orchid Resort,https://www.tripadvisor.in/Hotel_Review-g293916-d1844207-Reviews-Orchid_Resort-Bangkok.html
42,Nouvo City Hotel,https://www.tripadvisor.in/Hotel_Review-g293916-d2027318-Reviews-Nouvo_City_Hotel-Bangkok.html
43,Best Western Plus At 20 Sukhumvit,https://www.tripadvisor.in/Hotel_Review-g293916-d2155557-Reviews-Best_Western_Plus_At_20_Sukhumvit-Bangkok.html
