,HOTEL_NAME,HOTEL_URL
0,Hotel Hermosa,https://www.tripadvisor.in/Hotel_Review-g32490-d77710-Reviews-Hotel_Hermosa-Hermosa_Beach_California.html
1,Jamaica Bay Inn,https://www.tripadvisor.in/Hotel_Review-g32684-d78158-Reviews-Jamaica_Bay_Inn-Marina_del_Rey_California.html
2,The Belamar Hotel,https://www.tripadvisor.in/Hotel_Review-g32678-d78131-Reviews-The_Belamar_Hotel-Manhattan_Beach_California.html
3,Residence Inn San Diego Sorrento Mesa/Sorrento Valley,https://www.tripadvisor.in/Hotel_Review-g60750-d83958-Reviews-Residence_Inn_San_Diego_Sorrento_Mesa_Sorrento_Valley-San_Diego_California.html
4,Extended Stay America - Los Angeles - La Mirada,https://www.tripadvisor.in/Hotel_Review-g32580-d78393-Reviews-Extended_Stay_America_Los_Angeles_La_Mirada-La_Mirada_California.html
5,Ayres Hotel Chino Hills,https://www.tripadvisor.in/Hotel_Review-g32206-d1477828-Reviews-Ayres_Hotel_Chino_Hills-Chino_Hills_California.html
6,Cambria Landing Inn & Suites,https://www.tripadvisor.in/Hotel_Review-g32148-d588393-Reviews-Cambria_Landing_Inn_Suites-Cambria_San_Luis_Obispo_County_California.html
7,The Kinney,https://www.tripadvisor.in/Hotel_Review-g32684-d84219-Reviews-The_Kinney-Marina_del_Rey_California.html
8,Fairfield Inn & Suites Tustin Orange County,https://www.tripadvisor.in/Hotel_Review-g33198-d4451826-Reviews-Fairfield_Inn_Suites_Tustin_Orange_County-Tustin_California.html
9,Creekside Inn - A Greystone Hotel,https://www.tripadvisor.in/Hotel_Review-g32849-d79152-Reviews-Creekside_Inn_A_Greystone_Hotel-Palo_Alto_California.html
10,La Quinta Inn & Suites Santa Clarita - Valencia,https://www.tripadvisor.in/Hotel_Review-g580458-d625350-Reviews-La_Quinta_Inn_Suites_Santa_Clarita_Valencia-Stevenson_Ranch_Santa_Clarita_California.html
11,Residence Inn San Diego Del Mar,https://www.tripadvisor.in/Hotel_Review-g60750-d3932959-Reviews-Residence_Inn_San_Diego_Del_Mar-San_Diego_California.html
12,Pelican Inn & Suites,https://www.tripadvisor.in/Hotel_Review-g32148-d259664-Reviews-Pelican_Inn_Suites-Cambria_San_Luis_Obispo_County_California.html
13,Ayres Hotel Corona East / Riverside,https://www.tripadvisor.in/Hotel_Review-g32248-d84684-Reviews-Ayres_Hotel_Corona_East_Riverside-Corona_California.html
14,Residence Inn Los Angeles LAX/El Segundo,https://www.tripadvisor.in/Hotel_Review-g32341-d223950-Reviews-Residence_Inn_Los_Angeles_LAX_El_Segundo-El_Segundo_California.html
15,Extended Stay America - Orange County - Lake Forest,https://www.tripadvisor.in/Hotel_Review-g32596-d78411-Reviews-Extended_Stay_America_Orange_County_Lake_Forest-Lake_Forest_California.html
16,InterContinental Los Angeles Century City,https://www.tripadvisor.in/Hotel_Review-g32655-d638765-Reviews-InterContinental_Los_Angeles_Century_City-Los_Angeles_California.html
17,Ayres Hotel Fountain Valley/Huntington Beach,https://www.tripadvisor.in/Hotel_Review-g32406-d5274418-Reviews-Ayres_Hotel_Fountain_Valley_Huntington_Beach-Fountain_Valley_California.html
18,Fairfield Inn & Suites Riverside Corona/Norco,https://www.tripadvisor.in/Hotel_Review-g32786-d6612835-Reviews-Fairfield_Inn_Suites_Riverside_Corona_Norco-Norco_California.html
19,La Quinta Inn & Suites Fowler,https://www.tripadvisor.in/Hotel_Review-g32407-d1802264-Reviews-La_Quinta_Inn_Suites_Fowler-Fowler_California.html
20,La Quinta Inn & Suites Tulare,https://www.tripadvisor.in/Hotel_Review-g33193-d1598975-Reviews-La_Quinta_Inn_Suites_Tulare-Tulare_California.html
21,Alpine Inn,https://www.tripadvisor.in/Hotel_Review-g29092-d113858-Reviews-Alpine_Inn-Anaheim_California.html
22,Bay Landing Hotel,https://www.tripadvisor.in/Hotel_Review-g32124-d487673-Reviews-Bay_Landing_Hotel-Burlingame_California.html
23,Mystic Hotel,https://www.tripadvisor.in/Hotel_Review-g60713-d80823-Reviews-Mystic_Hotel-San_Francisco_California.html
24,Residence Inn San Diego North/San Marcos,https://www.tripadvisor.in/Hotel_Review-g33028-d1776877-Reviews-Residence_Inn_San_Diego_North_San_Marcos-San_Marcos_California.html
25,Hotel Indigo San Diego Gaslamp Quarter,https://www.tripadvisor.in/Hotel_Review-g60750-d1237001-Reviews-Hotel_Indigo_San_Diego_Gaslamp_Quarter-San_Diego_California.html
26,Americana Village,https://www.tripadvisor.in/Hotel_Review-g1798615-d249689-Reviews-Americana_Village-South_Lake_Tahoe_Lake_Tahoe_California_California.html
27,Hadsten House,https://www.tripadvisor.in/Hotel_Review-g33103-d82166-Reviews-Hadsten_House-Solvang_California.html
28,Stanford Park Hotel,https://www.tripadvisor.in/Hotel_Review-g32704-d78188-Reviews-Stanford_Park_Hotel-Menlo_Park_California.html
29,Petit Ermitage,https://www.tripadvisor.in/Hotel_Review-g33252-d119462-Reviews-Petit_Ermitage-West_Hollywood_California.html
30,Anaheim Marriott Suites,https://www.tripadvisor.in/Hotel_Review-g32420-d225743-Reviews-Anaheim_Marriott_Suites-Garden_Grove_California.html
31,Ayres Hotel & Suites in Costa Mesa - Newport Beach,https://www.tripadvisor.in/Hotel_Review-g32253-d113860-Reviews-Ayres_Hotel_Suites_in_Costa_Mesa_Newport_Beach-Costa_Mesa_California.html
32,Stanford Inn & Suites,https://www.tripadvisor.in/Hotel_Review-g29092-d75517-Reviews-Stanford_Inn_Suites-Anaheim_California.html
33,Best Western Plus El Rancho Inn,https://www.tripadvisor.in/Hotel_Review-g32715-d80705-Reviews-Best_Western_Plus_El_Rancho_Inn-Millbrae_California.html
