,HOTEL_NAME,HOTEL_URL
0,Victoria & Alfred Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d305780-Reviews-Victoria_Alfred_Hotel-Cape_Town_Central_Western_Cape.html
1,The Cape Royale,https://www.tripadvisor.in/Hotel_Review-g312659-d1082604-Reviews-The_Cape_Royale-Cape_Town_Central_Western_Cape.html
2,Protea Hotel Cape Town Waterfront Breakwater Lodge,https://www.tripadvisor.in/Hotel_Review-g312659-d303089-Reviews-Protea_Hotel_Cape_Town_Waterfront_Breakwater_Lodge-Cape_Town_Central_Western_Cape.html
3,Canal Quays,https://www.tripadvisor.in/Hotel_Review-g312659-d3655586-Reviews-Canal_Quays-Cape_Town_Central_Western_Cape.html
4,Dysart Boutique Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d1057246-Reviews-Dysart_Boutique_Hotel-Cape_Town_Central_Western_Cape.html
5,Circa Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d1109006-Reviews-Circa_Hotel-Cape_Town_Central_Western_Cape.html
6,Jambo Guest House,https://www.tripadvisor.in/Hotel_Review-g312659-d797703-Reviews-Jambo_Guest_House-Cape_Town_Central_Western_Cape.html
7,African Pride 15 On Orange Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d1557826-Reviews-African_Pride_15_On_Orange_Hotel-Cape_Town_Central_Western_Cape.html
8,Icon Luxury Apartments,https://www.tripadvisor.in/Hotel_Review-g312659-d3562799-Reviews-Icon_Luxury_Apartments-Cape_Town_Central_Western_Cape.html
9,The Commodore,https://www.tripadvisor.in/Hotel_Review-g312659-d305773-Reviews-The_Commodore-Cape_Town_Central_Western_Cape.html
10,Protea Hotel Fire & Ice! by Marriott Cape Town,https://www.tripadvisor.in/Hotel_Review-g312659-d628560-Reviews-Protea_Hotel_Fire_Ice_by_Marriott_Cape_Town-Cape_Town_Central_Western_Cape.html
11,Rouge on Rose,https://www.tripadvisor.in/Hotel_Review-g312659-d1235977-Reviews-Rouge_on_Rose-Cape_Town_Central_Western_Cape.html
12,Hilton Cape Town City Centre,https://www.tripadvisor.in/Hotel_Review-g312659-d1656653-Reviews-Hilton_Cape_Town_City_Centre-Cape_Town_Central_Western_Cape.html
13,Protea Hotel Cape Town Victoria Junction,https://www.tripadvisor.in/Hotel_Review-g312659-d304262-Reviews-Protea_Hotel_Cape_Town_Victoria_Junction-Cape_Town_Central_Western_Cape.html
14,52 De Wet,https://www.tripadvisor.in/Hotel_Review-g312654-d1817016-Reviews-52_De_Wet-Bantry_Bay_Western_Cape.html
15,President Hotel,https://www.tripadvisor.in/Hotel_Review-g312654-d586630-Reviews-President_Hotel-Bantry_Bay_Western_Cape.html
16,The One 8 Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d1436052-Reviews-The_One_8_Hotel-Cape_Town_Central_Western_Cape.html
17,Dunkley House,https://www.tripadvisor.in/Hotel_Review-g312659-d626616-Reviews-Dunkley_House-Cape_Town_Central_Western_Cape.html
18,Holiday Inn Express Cape Town City Centre,https://www.tripadvisor.in/Hotel_Review-g312659-d1027294-Reviews-Holiday_Inn_Express_Cape_Town_City_Centre-Cape_Town_Central_Western_Cape.html
19,Waterfront Village,https://www.tripadvisor.in/Hotel_Review-g312659-d309207-Reviews-Waterfront_Village-Cape_Town_Central_Western_Cape.html
20,Pepperclub Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g312659-d1605020-Reviews-Pepperclub_Hotel_Spa-Cape_Town_Central_Western_Cape.html
21,The New Tulbagh Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d3159705-Reviews-The_New_Tulbagh_Hotel-Cape_Town_Central_Western_Cape.html
22,Sugar Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g312659-d590030-Reviews-Sugar_Hotel_Spa-Cape_Town_Central_Western_Cape.html
23,La Splendida,https://www.tripadvisor.in/Hotel_Review-g312659-d309140-Reviews-La_Splendida-Cape_Town_Central_Western_Cape.html
24,DoubleTree by Hilton Cape Town - Upper Eastside,https://www.tripadvisor.in/Hotel_Review-g6776544-d1675294-Reviews-DoubleTree_by_Hilton_Cape_Town_Upper_Eastside-Woodstock_Western_Cape.html
25,Hippo Boutique Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d612531-Reviews-Hippo_Boutique_Hotel-Cape_Town_Central_Western_Cape.html
26,The Westin Cape Town,https://www.tripadvisor.in/Hotel_Review-g312659-d304563-Reviews-The_Westin_Cape_Town-Cape_Town_Central_Western_Cape.html
27,The Hyde All-Suite Hotel,https://www.tripadvisor.in/Hotel_Review-g312659-d1537336-Reviews-The_Hyde_All_Suite_Hotel-Cape_Town_Central_Western_Cape.html
28,Cape Grace,https://www.tripadvisor.in/Hotel_Review-g312659-d302595-Reviews-Cape_Grace-Cape_Town_Central_Western_Cape.html
29,The Marly Hotel,https://www.tripadvisor.in/Hotel_Review-g312658-d5415112-Reviews-The_Marly_Hotel-Camps_Bay_Western_Cape.html
