,HOTEL_NAME,HOTEL_URL
0,Dusit Residence Dubai Marina,https://www.tripadvisor.in/Hotel_Review-g295424-d1200893-Reviews-Dusit_Residence_Dubai_Marina-Dubai_Emirate_of_Dubai.html
1,Crowne Plaza Dubai,https://www.tripadvisor.in/Hotel_Review-g295424-d299235-Reviews-Crowne_Plaza_Dubai-Dubai_Emirate_of_Dubai.html
2,Marina View Hotel Apartments,https://www.tripadvisor.in/Hotel_Review-g295424-d2403719-Reviews-Marina_View_Hotel_Apartments-Dubai_Emirate_of_Dubai.html
3,"Raintree Hotel, Deira City Centre",https://www.tripadvisor.in/Hotel_Review-g295424-d1572481-Reviews-Raintree_Hotel_Deira_City_Centre-Dubai_Emirate_of_Dubai.html
4,Novotel Suites Dubai Mall of the Emirates,https://www.tripadvisor.in/Hotel_Review-g295424-d1427240-Reviews-Novotel_Suites_Dubai_Mall_of_the_Emirates-Dubai_Emirate_of_Dubai.html
5,Carlton Downtown Hotel,https://www.tripadvisor.in/Hotel_Review-g295424-d5288230-Reviews-Carlton_Downtown_Hotel-Dubai_Emirate_of_Dubai.html
6,Millennium Plaza Hotel Dubai,https://www.tripadvisor.in/Hotel_Review-g295424-d2407420-Reviews-Millennium_Plaza_Hotel_Dubai-Dubai_Emirate_of_Dubai.html
7,"Four Points by Sheraton Sheikh Zayed Road, Dubai",https://www.tripadvisor.in/Hotel_Review-g295424-d1025733-Reviews-Four_Points_by_Sheraton_Sheikh_Zayed_Road_Dubai-Dubai_Emirate_of_Dubai.html
8,Arabian Courtyard Hotel & Spa,https://www.tripadvisor.in/Hotel_Review-g295424-d568574-Reviews-Arabian_Courtyard_Hotel_Spa-Dubai_Emirate_of_Dubai.html
9,Majestic Hotel Tower,https://www.tripadvisor.in/Hotel_Review-g295424-d625760-Reviews-Majestic_Hotel_Tower-Dubai_Emirate_of_Dubai.html
10,Carlton Palace Hotel,https://www.tripadvisor.in/Hotel_Review-g295424-d306761-Reviews-Carlton_Palace_Hotel-Dubai_Emirate_of_Dubai.html
