,HOTEL_NAME,HOTEL_URL
0,Amora Hotel Jamison Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d284258-Reviews-Amora_Hotel_Jamison_Sydney-Sydney_New_South_Wales.html
1,Manor House Boutique Hotel Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d257874-Reviews-Manor_House_Boutique_Hotel_Sydney-Sydney_New_South_Wales.html
2,Shangri-La Hotel Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d256528-Reviews-Shangri_La_Hotel_Sydney-Sydney_New_South_Wales.html
3,"Meriton Suites Pitt Street, Sydney",https://www.tripadvisor.in/Hotel_Review-g255060-d489097-Reviews-Meriton_Suites_Pitt_Street_Sydney-Sydney_New_South_Wales.html
4,Vibe Hotel Rushcutters Bay Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d257310-Reviews-Vibe_Hotel_Rushcutters_Bay_Sydney-Sydney_New_South_Wales.html
5,The Grace Hotel Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d257296-Reviews-The_Grace_Hotel_Sydney-Sydney_New_South_Wales.html
6,Adina Apartment Hotel Sydney Darling Harbour,https://www.tripadvisor.in/Hotel_Review-g255060-d256582-Reviews-Adina_Apartment_Hotel_Sydney_Darling_Harbour-Sydney_New_South_Wales.html
7,InterContinental Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d256570-Reviews-InterContinental_Sydney-Sydney_New_South_Wales.html
8,Novotel Sydney Darling Square (formerly Novotel Sydney Rockford Darling Harbour),https://www.tripadvisor.in/Hotel_Review-g255060-d256607-Reviews-Novotel_Sydney_Darling_Square_formerly_Novotel_Sydney_Rockford_Darling_Harbour-Sydney_N.html
9,Novotel Sydney on Darling Harbour,https://www.tripadvisor.in/Hotel_Review-g255060-d256610-Reviews-Novotel_Sydney_on_Darling_Harbour-Sydney_New_South_Wales.html
10,Adina Apartment Hotel Sydney Town Hall,https://www.tripadvisor.in/Hotel_Review-g255060-d256583-Reviews-Adina_Apartment_Hotel_Sydney_Town_Hall-Sydney_New_South_Wales.html
11,Sofitel Sydney Wentworth,https://www.tripadvisor.in/Hotel_Review-g255060-d262569-Reviews-Sofitel_Sydney_Wentworth-Sydney_New_South_Wales.html
12,Novotel Sydney Central,https://www.tripadvisor.in/Hotel_Review-g255060-d256531-Reviews-Novotel_Sydney_Central-Sydney_New_South_Wales.html
13,Radisson Hotel And Suites Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d256627-Reviews-Radisson_Hotel_And_Suites_Sydney-Sydney_New_South_Wales.html
14,Ovolo Woolloomooloo,https://www.tripadvisor.in/Hotel_Review-g255060-d257469-Reviews-Ovolo_Woolloomooloo-Sydney_New_South_Wales.html
15,QT Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d2641285-Reviews-QT_Sydney-Sydney_New_South_Wales.html
16,Holiday Inn Potts Point - Sydney,https://www.tripadvisor.in/Hotel_Review-g255060-d255394-Reviews-Holiday_Inn_Potts_Point_Sydney-Sydney_New_South_Wales.html
